,model,scenario,region,variable,unit,year,value
240,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2015,0.0
241,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2020,0.0
242,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2025,0.0
243,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2030,0.0
244,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2035,0.0
245,West Bengal energy model,baseline,India,Primary Energy|Gas|w/ CCS|gas_cc_ccs_ppl,GWa,2040,0.0
246,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2015,2.421433448791504
247,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2020,2.690518856048584
248,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2025,3.411801815032959
249,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2030,4.101991176605225
250,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2035,4.783143520355225
251,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS,GWa,2040,5.9331536293029785
252,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2015,0.0
253,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2020,0.0
254,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2025,0.0
255,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2030,0.0
256,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2035,0.0
257,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_peak_ppl,GWa,2040,0.0
258,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2015,0.0
259,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2020,0.0
260,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2025,0.0
261,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2030,0.0
262,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2035,0.0
263,West Bengal energy model,baseline,India,Primary Energy|Gas|w/o CCS|gas_cc_ppl,GWa,2040,0.0
264,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2015,0.06800000369548798
265,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2020,0.23399999737739563
266,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2025,0.23399999737739563
267,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2030,0.23399999737739563
268,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2035,0.23399999737739563
269,West Bengal energy model,baseline,India,Primary Energy|Hydro,GWa,2040,0.23399999737739563
270,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2015,0.12832391262054443
271,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2020,0.38123026490211487
272,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2025,0.3938521146774292
273,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2030,0.6006366014480591
274,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2035,1.3119542598724365
275,West Bengal energy model,baseline,India,Primary Energy|Non-Biomass Renewables,GWa,2040,1.3618404865264893
276,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2015,0.0
277,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2020,0.0
278,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2025,0.0
279,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2030,0.0
280,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2035,0.0
281,West Bengal energy model,baseline,India,Primary Energy|Nuclear,GWa,2040,0.0
282,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2015,0.0
283,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2020,0.0
284,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2025,0.0
285,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2030,0.0
286,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2035,0.0
287,West Bengal energy model,baseline,India,Primary Energy|Nuclear|Domestic,GWa,2040,0.0
